,episode,actions
0,[46/100],1-0-2-3-0-1-3-1-0-2-3-1-2-1-2-3-3-3-2-3-1-3-2-1-3-2-2-3-0-1-2-3-3-0-2-2-3-1-2-1-3-2-0-2-0-1-3-3-0-0-3-1-1-2-2-2-3-1-3-0-2-3-2-2-0-0-0-2-2-1-2-3-0-2-1-3-0-2-1-0-0-1-1-1-0-2-2-2-2-2-1-1
1,[53/100],3-0-1-1-0-1-2-3-3-2-3-2-1-2-1-1-1-1-0-1-0-1-1-0-2-0-0-0-1-1-1-0-2-3-2-0-0-2-3-1-2-2-0-1-1-2-2-0-2-2-0-3-2-2-0-0-2-0-3-0-0-0-0-2-0-0-0-0-0-1-1-1-1
2,[55/100],0-2-0-3-3-3-2-1-0-3-2-3-3-0-1-3-1-0-3-3-2-1-3-3-1-1-0-3-1-2-3-0-0-0-3-1-3-2-0-1-0-1-0-3-1-3-2-1-1-0-3-0-3-3-3-3-1-0-2-3-1-0-0-1-2-1-3-2-0-3-0-1-0-1-2-1-0-1-2-1-1-3-3-0-0-0-0-3-0-3-2-0-1-1-0-3-2-3-1-2-3-1-3-2-3-0-1-3-1-3-3-3-1-1-1-1-1-0-0-3-2-0-1-0-1-3-1-0-1-3-0-2-1-2-2-0-2-0-3-1-2-3-1-0-2-3-0-0-0-2-1-0-0-0-2-0-1-3-0-0-0-2-0-1-3-0-1-1-3-1-0-0-1-2-0-0-2-3-1-2-0-2-0-3-3-3-2-0-1-0-3-0-2-1-3-0-2-2-1-2-2-3-3-3-0-1-1-1-0-2-0-2-2-1-1-1
3,[57/100],1-2-0-0-3-3-1-3-1-2-1-1-3-1-1-0-3-0-3-1-1-0-1-0-1-2-0-2-1-3-1-3-3-2-0-1-1-0-1-1-2-1-0-1-1-0-2-3-2-0-0-2-3-2-0-1-0-0-2-1-0-1-0-2-2-2-2-0-1-1-1-0-2-2-1-1
4,[62/100],3-0-2-1-1-0-1-0-3-1-1-0-0-0-0-2-3-1-1-2-3-3-2-3-3-3-2-3-0-0-1-1-1-0-2-0-1-3-2-3-2-0-0-1-3-2-0-0-0-1-0-1-3-0-0-2-3-2-0-0-1-1-3-1-2-2-2-0-0-2-3-2-0-0-3-0-0-1-0-2-1-2-0-2-1-1-1-2-1
5,[63/100],0-0-2-1-3-1-1-2-2-2-3-2-3-3-3-3-3-3-0-1-0-0-3-1-0-3-0-0-0-0-2-1-1-3-2-3-1-0-3-1-2-2-1-0-2-0-2-3-0-0-2-2-2-1-1-1-1
6,[64/100],1-2-1-3-2-3-2-1-2-1-0-3-2-2-0-2-0-1-3-1-0-2-0-1-0-0-2-2-1-1-1-1
7,[68/100],1-0-0-1-1-0-1-3-1-1-0-3-1-3-3-0-1-1-3-2-2-1-0-1-1-0-3-0-1-3-0-0-2-1-3-2-0-1-3-3-0-2-0-0-3-0-3-2-0-3-1-3-3-0-1-1-0-2-1-0-1-0-1-3-1-2-0-1-0-3-3-0-2-3-2-3-1-1-2-0-0-3-1-1-0-3-0-3-2-0-1-1-0-0-1-3-1-3-2-3-0-0-1-1-2-0-0-3-2-1-0-3-0-1-2-3-2-0-0-0-0-3-1-3-1-1-3-1-1-0-1-2-2-1-1-3-1-1-2-0-1-0-3-3-2-0-1-2-1-3-0-2-3-2-2-0-0-1-2-3-0-0-0-2-2-2-1-1-1-1
8,[69/100],0-0-0-1-2-3-2-0-0-1-3-2-1-1-0-1-0-1-1-3-0-1-0-2-0-3-0-2-1-3-2-0-1-3-0-0-1-0-3-0-2-3-0-1-1-1-1-0-3-2-2-3-2-3-2-2-0-2-0-0-2-2-1-1-1-1
9,[72/100],0-3-1-2-0-3-3-3-2-0-1-0-1-0-1-1-3-0-0-2-3-2-3-0-3-1-2-3-1-2-0-1-3-0-2-3-1-1-0-0-1-1-2-2-3-2-1-1-1-3-2-0-2-0-2-0-0-0-2-2-1-1-1-1
10,[73/100],3-2-1-1-0-3-1-2-1-0-1-1-0-3-0-1-2-2-1-1-1-3-0-1-1-3-3-2-0-0-0-1-3-0-1-3-1-3-3-3-3-0-3-2-3-1-3-0-2-3-1-3-3-1-1-3-1-0-2-1-3-0-3-1-0-0-1-0-3-3-3-3-1-1-3-2-2-3-0-0-3-3-3-3-2-3-2-1-1-2-0-3-2-1-0-1-1-3-1-0-0-3-1-3-3-0-0-2-3-1-2-0-3-3-2-1-3-2-0-0-0-0-3-0-1-1-0-3-1-0-1-3-1-2-2-2-0-2-0-0-2-2-1-1-1-1
11,[74/100],2-3-3-1-3-0-3-0-1-3-2-0-1-0-0-3-3-2-1-1-1-1-1-0-2-2-0-2-0-0-2-2-1-1-1-1
12,[75/100],3-1-1-0-3-1-1-0-0-2-0-1-0-3-0-3-2-1-1-1-2-1-3-2-3-3-2-3-0-2-2-2-0-2-0-0-2-2-1-1-1-1
13,[76/100],0-2-1-0-1-0-3-3-0-1-1-0-3-0-1-3-2-1-1-2-3-2-2-0-2-0-0-2-2-2-1-1-1-1
14,[77/100],2-3-0-0-2-3-1-3-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
15,[78/100],1-1-3-2-1-2-2-0-2-0-0-2-2-1-1-1-1
16,[79/100],1-1-2-1-2-2-0-2-0-0-2-2-0-1-1-1-1
17,[80/100],1-1-0-1-2-1-2-2-0-1-0-2-0-0-2-2-1-1-1-1
18,[81/100],1-1-2-0-1-1-2-2-0-2-0-0-2-2-1-1-1-1
19,[82/100],3-1-1-2-1-2-2-0-2-0-0-2-2-1-1-2-1-1
20,[83/100],1-1-2-0-1-1-0-1-2-2-0-2-0-0-2-2-1-1-1-1
21,[84/100],2-3-1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
22,[86/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
23,[89/100],1-1-2-1-2-2-0-2-0-3-2-0-2-2-1-1-1-1
24,[90/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
25,[91/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
26,[92/100],1-1-1-2-1-1-2-0-2-0-2-0-0-3-2-2-2-3-2-1-1-1-1
27,[93/100],3-1-1-2-1-2-2-0-2-0-0-2-2-1-1-2-1-1
28,[94/100],1-1-2-1-2-2-0-2-0-0-2-2-0-1-1-1-1
29,[95/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
30,[96/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
31,[97/100],1-1-2-0-1-1-2-2-0-2-0-0-2-0-1-3-0-2-2-1-1-1-1
32,[98/100],1-1-2-1-2-2-0-2-0-0-2-2-1-1-1-1
33,[99/100],1-1-2-1-2-2-0-2-0-1-0-0-2-2-1-1-1-0-1-1
